Query,Reciprocal_Rank,Recall@1,Recall@5,Recall@10,Recall@20
"""There's the goodies,"" says one boy to another, opening a metal box.",0.0476190476190476,0,0,0,0
2 children driving a small robotic go kart like machine while an adult rides a segway like machine.,0.5,0,1,1,1
2 people out on the gym floor dancing in tandem.,0.0,0,0,0,0
2 shirtless men playing random objects like musical instruments.,0.5,0,1,1,1
3 young men are goofing around with a boxing machine while another young man films it.,0.3333333333333333,0,1,1,1
"3 youngsters in red shirts and 5 older men in white, sing in spanish.",0.3333333333333333,0,1,1,1
4 people play badminton on an indoor court on a basket ball floor,1.0,1,1,1,1
4 women in the room 2 of the women are laying on the floor and the other 2 women start hitting them with pillows .,0.5,0,1,1,1
A  child is having a hard time staying awake,0.0,0,0,0,0
A  group of teammates are huddled together and talking while an outsider comments on how a male player looks like a chick.,0.5,0,1,1,1
A  man explains the placement of a feather on a fishing lure.,0.037037037037037,0,0,0,0
A  man is standing on the embankment then he tosses a rock in the water,0.0769230769230769,0,0,0,1
A  person is in the dark making a video of blue and red lights.,0.5,0,1,1,1
A  person is writing a lot of numerical and alphabetical figures on a large bulletin board.,0.5,0,1,1,1
A  small child gives two little girls a hug each.,0.0126582278481012,0,0,0,0
A  young boy is sitting and playing a song on a special kind of guitar.,0.125,0,0,1,1
A  young boy riding on the back of an elephant outside with his mom.,0.0,0,0,0,0
A  young girl walk in front of camera and does a pose in front of other girls who are standing.,1.0,1,1,1,1
"A ,man wrestles an alligator in the grass along a highway as people watch.",0.3333333333333333,0,1,1,1
A 1 second video of what looks like someone performing a long jump or olympic sport.,0.0,0,0,0,0
A 2 centimeter measurement is shown and then a person starts to do a 2 centimeter fold with a piece of paper.,0.0158730158730158,0,0,0,0
A Asian man wearing a medal presents an award to a soldier on a stage.,1.0,1,1,1,1
A British education official is speaking about online education in Wales.,0.010752688172043,0,0,0,0
A CUTE LITTLE BOY IS MAKING SOME SIGNS,0.0,0,0,0,0
A Christmas carol service recorded by someone is being played.,0.25,0,1,1,1
A Civil War reenactment is shown as one side advances,0.0833333333333333,0,0,0,1
A Denver shirt is shown then a man makes a large snow boarding jump.,0.0555555555555555,0,0,0,1
A Hispanic band that is wearing purple preform a song together.,0.25,0,1,1,1
A Hungarian doing a hammer throw at a track and field event.,0.125,0,0,1,1
A MAN ATTEMPTS TO  BREAK A SOLID PLANK OF WOOD USING HIS FOREHEAD.,0.25,0,1,1,1
A MAN IS PERFORMING OVER THE HEAD LIFTS WITH A BARBELL IN A GYM.,0.037037037037037,0,0,0,0
A Man descends by rope down a stone wall with a light illuminating the way then the light goes away.,0.0232558139534883,0,0,0,0
A Man open the box and take the paper outside.,0.0,0,0,0,0
A Monty Python player is seen in a gumby character stuffing flowers the wrong way into a vase.,0.0232558139534883,0,0,0,0
A NHL hockey game showing multiple hockey players skating during a break in play.,0.5,0,1,1,1
A PERSON IS PLAYING CHORDS ON A ACOUSTIC GUITAR.,0.05,0,0,0,1
"A PERSON TEACHING THE BABY HOW TO SAY AL, THEN THE BABY SAY IT.",0.2,0,1,1,1
A Person is clening in the it is above house  and is wearing in  shoe it is shadow in the sheet,0.0,0,0,0,0
A Person take in a Bacilliform and take a knife chop in the bacilliform and completeliy chip,0.0,0,0,0,0
A SUV drives through deep water while using a tow strap to pull another vehicle through the water behind them.,1.0,1,1,1,1
A WOMAN IS GIVING THE SEMINAR ABOUT HEART GIVING AND MAN IS ALONG WITH HER,0.0294117647058823,0,0,0,0
A WOMAN IS ILLUSTRATING HOW TO FOLD A BLUE NAPKIN.,0.2,0,1,1,1
A YouTube channel playing showing a man eating a piece of watermelon with one long bite.,1.0,1,1,1,1
A a man is talking a skier is coming down a slope and over a small hill.,1.0,1,1,1,1
A aman is stretching out his hamstring in the garage.,0.5,0,1,1,1
A ambulance is parked in front of the fiery and smoking remains of a car as a crowd watches.,1.0,1,1,1,1
A an is using a black tool to punch a hole in small plastic box.,0.0666666666666666,0,0,0,1
A arm wrestling contest is un ensure while an group of friends are cheering.,0.0136986301369863,0,0,0,0
A artist jumps off the stage and jumps into the crowd to crowd surf.,0.0192307692307692,0,0,0,0
A baby Asian boy is holding the camera and kissing it.,0.0113636363636363,0,0,0,0
"A baby Coos to herself while playing with a chew toy , befor looking at an adult speaking to her.",0.0357142857142857,0,0,0,0
A baby and a child are laying on a floor while an adult stands nearby and plays with them,1.0,1,1,1,1
A baby and a woman  baby in laying  and a baby kissing in woman and woman smailling,0.2,0,1,1,1
A baby attempts to crawl across the floor while a woman cheers them on.,0.0232558139534883,0,0,0,0
A baby attempts to crawl over a rug on a floor encouraged by a man.,0.04,0,0,0,0
A baby attempts to grab an ice cream cone from another toddler.,0.2,0,1,1,1
A baby attempts to scale a small set of carpeted stairs in a room.,1.0,1,1,1,1
A baby babbles on camera while adults off camera babble back.,0.0588235294117647,0,0,0,1
A baby becomes upset with the annoying laughter of the person holding the camera.,0.5,0,1,1,1
A baby being yawns and opens its eyes as its head is supported by a woman's hand.,0.2,0,1,1,1
A baby biting a plastic baby bottle looks into the camera,0.125,0,0,1,1
A baby blows his nose using a tissue while the people around the baby encourage him.,0.0526315789473684,0,0,0,1
A baby boy crawling to a card on a living room floor.,1.0,1,1,1,1
A baby boy grins and bats his eyes as someone softly brushes his hair with a small white brush.,0.0,0,0,0,0
A baby boy hops in his walker as he falls asleep.,1.0,1,1,1,1
A baby boy is attempting to crawl on a floor while being talked to.,0.1111111111111111,0,0,1,1
A baby boy is being poked and spoken to in a foreign language while he is sleeping.,0.0476190476190476,0,0,0,0
A baby boy is chewing on a clear toothbrush with direction from an older off-camera man,0.5,0,1,1,1
A baby boy is laughing while a man is holding and playing with him.,0.3333333333333333,0,1,1,1
A baby boy is laying down and is being amused by something covering his face and being taken off repeatedly.,0.1666666666666666,0,0,1,1
A baby boy is making noise while playing with toys,0.25,0,1,1,1
A baby boy is on a blanket on the floor watching an inflatable rattle.,0.0555555555555555,0,0,0,1
A baby boy is sitting in high chair drinking milk with a straw.,0.0454545454545454,0,0,0,0
A baby boy is standing on the floor holding two rattlers while a little boy is bouncing and throwing a balloon.,0.0833333333333333,0,0,0,1
A baby boy is trying to eat an ice cream bar with a messy face.,0.04,0,0,0,0
A baby boy is trying to waken a female adult and is playing with her eye.,0.0,0,0,0,0
"A baby boy sneezes twice while an adult says ""hello"" to him.",0.0909090909090909,0,0,0,1
A baby boy sniffs a person's bare foot and attempts to throw up.,0.1111111111111111,0,0,1,1
"A baby boy started to say something with big open mouth, then someone pulled him.",0.027027027027027,0,0,0,0
A baby boy whimpers after waking himself up with a couple of sneezes.,0.0232558139534883,0,0,0,0
A baby chews on a long clear straw while trying to drink water out of a straw in a large mug.,0.1,0,0,1,1
A baby crawling across the living room carpet very slowly.,0.1666666666666666,0,0,1,1
"A baby crawling on the floor, trying to get to his toys.",0.25,0,1,1,1
"A baby crawls across carpet and coos, falling, and then starting again.",0.0263157894736842,0,0,0,0
A baby crawls and sits up on the floor while someone sings to him.,0.1666666666666666,0,0,1,1
A baby crawls into the bathroom where a person is taking a shower.,1.0,1,1,1,1
A baby crawls on the carpet to get to a ball on the floor.,0.0555555555555555,0,0,0,1
A baby crawls on the floor while a woman gives him encouragement along the way.,0.0454545454545454,0,0,0,0
"A baby crawls on the floor, then throws a toy into another toy and laughs.",1.0,1,1,1,1
